CHRKINGDOMCODE,CHRRANKCODE,VCHRVALIDCHILDLIST,VCHRVALIDENDINGLIST,GUID
A    ,C                   ,"'SBC','CHRT','SPO','O','F'", ,350D4CC8-9893-11D3-A857-02608C403485
A    ,CHRT                ,"'SPO','O','F'", ,350D4CC9-9893-11D3-A857-02608C403485
A    ,F                   ,"'SF','G'",idae,350D4CCA-9893-11D3-A857-02608C403485
A    ,G                   ,"'SG','SGP','SP'", ,350D4CCB-9893-11D3-A857-02608C403485
A    ,HO                  ,'F', ,350D4CCC-9893-11D3-A857-02608C403485
A    ,INC                 ,"'CHRT','SPO','O','F'", ,350D4CCD-9893-11D3-A857-02608C403485
A    ,INO                 ,"'F','SPF'", ,350D4CCE-9893-11D3-A857-02608C403485
A    ,KING                ,"'SKING','P'", ,350D4CCF-9893-11D3-A857-02608C403485
A    ,O                   ,"'F','SBO','SPF'", ,350D4CD1-9893-11D3-A857-02608C403485
A    ,P                   ,"'SBP','SPC','C','F','O'", ,350D4CD2-9893-11D3-A857-02608C403485
A    ,SBC                 ,"'INC','CHRT','SPO','O','F'", ,350D4CD3-9893-11D3-A857-02608C403485
A    ,SBO                 ,"'F','INO','SPF'", ,350D4CD4-9893-11D3-A857-02608C403485
A    ,SBP                 ,"'SPC','C','F','O'", ,350D4CD5-9893-11D3-A857-02608C403485
A    ,SBT                 ,'G',ina,350D4CD6-9893-11D3-A857-02608C403485
A    ,SF                  ,"'ST','T','G'",inea,350D4CD7-9893-11D3-A857-02608C403485
A    ,SG                  ,"'SGP','SP'", ,350D4CD8-9893-11D3-A857-02608C403485
A    ,SGP                 ,'SP', ,350D4CD9-9893-11D3-A857-02608C403485
A    ,SKING               ,'P', ,350D4CDA-9893-11D3-A857-02608C403485
A    ,SP                  ,'SSP', ,350D4CDB-9893-11D3-A857-02608C403485
A    ,SPC                 ,"'C','F','O'", ,350D4CDC-9893-11D3-A857-02608C403485
A    ,SPF                 ,'F', ,350D4CDD-9893-11D3-A857-02608C403485
A    ,SPO                 ,"'O','F'", ,350D4CDE-9893-11D3-A857-02608C403485
A    ,SSP                 , , ,350D4CDF-9893-11D3-A857-02608C403485
A    ,ST                  ,"'T','G'", ,350D4CE0-9893-11D3-A857-02608C403485
A    ,T                   ,"'SBT','G'",ini,350D4CE1-9893-11D3-A857-02608C403485
P    ,C                   ,"'SBC','CHRT','SPO','O','F'", ,350D4CE2-9893-11D3-A857-02608C403485
P    ,CHRT                ,"'SPO','O','F'", ,350D4CE3-9893-11D3-A857-02608C403485
P    ,F                   ,"'SF','G'", ,350D4CE4-9893-11D3-A857-02608C403485
P    ,FM                  ,'SFM', ,350D4CE5-9893-11D3-A857-02608C403485
P    ,G                   ,"'SG','SCT','SGP','SP'", ,350D4CE6-9893-11D3-A857-02608C403485
P    ,HO                  ,'F', ,350D4CE7-9893-11D3-A857-02608C403485
P    ,INC                 ,"'CHRT','SPO','O','F'", ,350D4CE8-9893-11D3-A857-02608C403485
P    ,INO                 ,"'F','SPF'", ,350D4CE9-9893-11D3-A857-02608C403485
P    ,KING                ,"'SKING','D'", ,350D4CEA-9893-11D3-A857-02608C403485
P    ,O                   ,"'F','SBO','SPF'", ,350D4CEC-9893-11D3-A857-02608C403485
P    ,D                   ,"'SBD','SPC','C'", ,350D4CED-9893-11D3-A857-02608C403485
P    ,SBC                 ,"'INC','CHRT','SPO','O','F'", ,350D4CEE-9893-11D3-A857-02608C403485
P    ,SBO                 ,"'F','INO','SPF'", ,350D4CEF-9893-11D3-A857-02608C403485
P    ,SBD                 ,"'SPC','C'", ,350D4CF0-9893-11D3-A857-02608C403485
P    ,SBT                 ,'G', ,350D4CF1-9893-11D3-A857-02608C403485
P    ,SCT                 ,"'SSCT','SRS','SP'", ,350D4CF2-9893-11D3-A857-02608C403485
P    ,SF                  ,"'ST','T','G'", ,350D4CF3-9893-11D3-A857-02608C403485
P    ,SFM                 , , ,350D4CF4-9893-11D3-A857-02608C403485
P    ,SG                  ,"'SCT','SGP','SP'", ,350D4CF5-9893-11D3-A857-02608C403485
P    ,SGP                 ,'SP', ,350D4CF6-9893-11D3-A857-02608C403485
P    ,SKING               ,'P', ,350D4CF7-9893-11D3-A857-02608C403485
P    ,SP                  ,"'SSP','V','F'", ,350D4CF8-9893-11D3-A857-02608C403485
P    ,SPC                 ,"'C','F','O'", ,350D4CF9-9893-11D3-A857-02608C403485
P    ,SPF                 ,'F', ,350D4CFA-9893-11D3-A857-02608C403485
P    ,SPO                 ,"'O','F'", ,350D4CFB-9893-11D3-A857-02608C403485
P    ,SRS                 ,"'SSRS','SPG','SP'", ,350D4CFC-9893-11D3-A857-02608C403485
